abbreviatedAddress,address/city,address/zipcode,bathrooms,bedrooms,daysOnZillow,lastSoldPrice,latitude,livingArea (sqft),longitude,lotSize,price,yearBuilt,zestimate
1121 SW 10th Dr,Gresham,97080,3,4,11,512000,45.48822784,2724,-122.4444199,9583,512000,1982,512355
1518 SE 12th St,Gresham,97080,2,3,14,404200,45.48799133,1150,-122.4161835,7000,404200,1967,397479
110 NW Willowbrook Ct,Gresham,97030,2,3,25,478200,45.4981842,2036,-122.4513321,6969,478200,1978,481241
4252 SW Lillyben Ave,Gresham,97080,2,4,26,530000,45.46759796,1947,-122.4583893,4791,530000,2018,532813
1671 SE Liberty Ave,Gresham,97080,3,3,12,389200,45.48519516,1548,-122.4188385,5009,419900,2006,459426
3569 SW Mckinley St,Gresham,97080,3,3,41,550000,45.47535324,2209,-122.4683075,5227,550000,2017,557448
520 SE Juniper Ave,Gresham,97080,3,4,17,457800,45.49370956,2838,-122.4230194,6480,490300,1958,538007
4230 SW Lillyben Ave,Gresham,97080,4,4,43,600000,45.46751404,3180,-122.4554443,4791,600000,2018,608559
19830 SE Pine St,Portland,97233,2,3,76,380000,45.5201416,1248,-122.4579391,7840,380000,1968,390274
705 NE 18th Ct,Gresham,97030,1,3,75,330000,45.51000214,1288,-122.4231567,9147,330000,1969,338795
2349 SW 19th Ct,Gresham,97080,3,3,53,465000,45.48252106,1772,-122.4570999,11324,465000,1974,473409
18851 NE Davis St,Portland,97230,1,3,109,387000,45.52406311,1328,-122.4689026,6969,387000,1962,402454
4624 SE Honors Pl,Gresham,97080,3,4,176,690000,45.4651413,3792,-122.4272003,15245,690000,2013,734135
2668 SW 43rd St,Gresham,97080,3,5,204,516400,45.46661377,2892,-122.459198,,516400,2020,556402
18540 SE Yamhill Cir,Portland,97233,1,3,74,370000,45.51468277,946,-122.4717941,6969,370000,1964,379716
828 SE 213th Pl,Gresham,97030,2,3,74,412000,45.51647949,1770,-122.443367,7405,412000,1968,422819
2374 NE Fleming Ter,Gresham,97030,3,4,74,220000,45.51407623,1976,-122.4072952,7925,220000,1976,462293
23654 SE Oak St,Gresham,97030,1,3,76,235000,45.5193634,1126,-122.4186401,8199,235000,1965,241353
1509 SE 179th Ave,Portland,97233,1,3,76,318000,45.51176071,864,-122.479332,6969,318000,1962,326597
1785 SE 2nd Pl,Gresham,97080,1,3,11,206000,45.49597931,1224,-122.4142075,7500,2495,1965,221957
18530 SE Yamhill St,Portland,97233,1,3,76,360000,45.51531219,946,-122.4721146,7405,360000,1963,374868
21507 SE Main St,Gresham,97030,2,3,76,440000,45.51266479,1672,-122.4418564,10890,440000,1971,451896
23564 SE Oak St,Gresham,97030,2,6,78,350000,45.51955032,1794,-122.420105,7000,350000,1965,441205
2021 SW 34th St,Gresham,97080,3,4,203,420000,45.47290802,2281,-122.4532166,4791,420000,2005,446993
22419 SE Morrison Ct,Gresham,97030,1,3,78,345000,45.51657104,890,-122.4321289,6969,345000,1963,354593
18622 SE Stephens Cir,Portland,97233,2,3,82,225500,45.5094986,1280,-122.4712296,7094,225500,1980,232117
3106 SE Barnes Rd,Gresham,97080,2,3,202,450000,45.47445297,1717,-122.3928452,7840,450000,2004,484523
1911 NE Liberty Ave,Gresham,97030,1,3,83,288250,45.51059723,1160,-122.4192276,6969,288250,1973,296820
18241 NE Flanders St,Portland,97230,2,3,83,383000,45.52582932,1500,-122.4750748,9435,383000,1954,394388
4249 SW Rodlun Rd,Gresham,97080,3,4,197,508000,45.46736145,2448,-122.454834,5227,508000,2018,546027
3003 NE 23rd St,Gresham,97030,2,3,83,175000,45.51324844,1112,-122.4020767,7392,175000,1985,180203
805 NE 190th Ave,Portland,97230,1,3,83,362000,45.52877426,912,-122.4678574,8712,362000,1956,372763
18035 SE Main St,Portland,97233,1,3,83,292600,45.51392365,1380,-122.4773788,8276,292600,1967,301300
138 NE 192nd Ave,Portland,97230,2,3,88,365000,45.52365875,1420,-122.4650726,10890,365000,1947,436492
3643 SE Durango Pl,Gresham,97080,2,4,197,642000,45.47143936,2733,-122.4300156,17424,642000,2007,690058
19319 NE Couch St,Portland,97230,1,4,88,386000,45.52370453,1386,-122.4637375,6969,386000,1968,401167
2535 NE 164th Ave,Portland,97230,2,3,88,525000,45.5411911,2086,-122.4941711,8712,525000,1986,541623
808 NE 192nd Ave,Portland,97230,1,3,88,320000,45.52868652,960,-122.4651566,6098,320000,1957,330132
2918 SW Angeline Ave,Gresham,97080,3,4,195,459500,45.4759903,2066,-122.4499054,10018,459500,1976,493551
1841 NW Orchard Ave,Gresham,97030,3,3,88,470000,45.51032639,2064,-122.4492035,11325,470000,1984,484881
2102 SW Butler Rd,Gresham,97080,1,2,194,300000,45.47031784,1224,-122.4536667,80150,300000,1954,559141
1222 NE 192nd Ave,Portland,97230,2,4,95,415000,45.53183365,2016,-122.4649887,6969,415000,1963,429264
1409 SE 180th Way,Portland,97233,3,4,95,420000,45.51301193,1504,-122.4780273,9147,420000,2000,434436
21450 SE Main St,Gresham,97030,2,4,95,430000,45.5122261,1780,-122.4421158,8712,430000,1972,444779
3453 SW Wonderview Ave,Gresham,97080,3,4,190,500000,45.47184753,2987,-122.4539871,5227,500000,2006,536104
640 NE 199th Ave,Portland,97230,2,4,97,416900,45.52775574,2337,-122.4580688,10018,416900,1964,431552
18042 SE Clay St,Portland,97233,3,4,97,438000,45.5111351,2431,-122.4770889,11325,438000,1960,453394
16373 NE Thompson St,Portland,97230,4,5,98,595000,45.54019547,3500,-122.4943161,13068,595000,1989,616374
1335 SE 175th Pl,Portland,97233,1,3,102,353700,45.51315689,1200,-122.4831696,8276,353700,1956,366817
3407-3409 NE View Ave,Gresham,97030,1,2,103,396800,45.52125168,1000,-122.4126434,8210,396800,1974,411670
1242 SE 211th Ave,Gresham,97030,1,3,103,400000,45.51395416,1176,-122.4456329,7840,400000,1968,414990
16521 NE San Rafael Dr,Portland,97230,2,3,104,502183,45.53736877,1974,-122.4925079,6969,502183,1987,521197
18944 NE Couch St,Portland,97230,2,4,104,419000,45.52291489,1609,-122.4678955,7405,419000,1955,434865
16431 NE Hoyt St,Portland,97230,2,3,105,437500,45.52772141,1662,-122.4935532,9147,437500,1957,454235
4745 SE Antelope Hills Dr,Gresham,97080,3,5,186,455000,45.46427917,2182,-122.4373703,5662,455000,1999,485841
18829 NE Couch Ln,Portland,97230,1,2,106,355000,45.52262115,777,-122.4692688,7405,355000,1956,370247
1348 SE 207th Ave,Gresham,97030,2,4,106,420000,45.51268387,1810,-122.4492264,7200,420000,1974,436229
16505 NE Hoyt St,Portland,97230,3,4,109,435000,45.52777481,2980,-122.4929962,6969,435000,1973,452370
19113 SE Ash St,Portland,97233,3,2,109,309000,45.52134705,1122,-122.4663391,2178,309000,2007,321339
19009 NE Flanders St,Portland,97230,1,3,109,340100,45.52555847,912,-122.4671478,7405,340100,1962,353681
21824 NE Couch St,Gresham,97030,3,,110,545000,45.52279282,2583,-122.4377213,5002,545000,2015,566998
16416 NE Hoyt St,Portland,97230,2,3,111,415000,45.52729034,1800,-122.493866,8276,415000,1957,431929
2955 SE Elliott Pl,Gresham,97080,5,5,182,610000,45.47608185,4411,-122.4284821,5227,610000,2008,650415
379 NE Lovrien Ave,Gresham,97030,2,4,19,165000,45.49983978,2106,-122.3894653,6969,629900,2021,668484
840 NE 179th Ave,Portland,97230,1,3,117,325000,45.52961349,1032,-122.4780731,7300,325000,1969,339099
18350 NE Everett Ct,Portland,97230,1,3,123,325000,45.52425766,960,-122.4738312,8276,325000,1958,339943
2285 NE Juniper Ave,Gresham,97030,2,4,130,395000,45.51330185,1316,-122.4233322,8276,395000,1971,413125
21033 SE Salmon St,Gresham,97030,2,3,132,378500,45.51490402,1156,-122.4465103,6969,378500,1969,396200
17814 NE Davis St,Portland,97230,2,4,131,300000,45.52353287,1888,-122.4796448,7405,300000,1961,313897
344 NE 192nd Ave,Portland,97230,4,8,144,590000,45.52558517,3300,-122.4648438,21780,590000,1997,620640
1147 SE 175th Pl,Portland,97233,3,5,144,415000,45.51437759,2160,-122.4831848,9583,415000,1956,436390
21001 SE Yamhill St,Gresham,97030,2,4,145,387550,45.51643753,2004,-122.4473343,7405,387550,1972,407676
19810 NE Multnomah St,Portland,97230,2,4,145,187500,45.53158951,1474,-122.4589615,8900,187500,1966,422059
33 SE 218th Ave,Gresham,97030,3,4,176,459000,45.52241516,2548,-122.438385,6534,459000,2006,488360
1153 NE 193rd Ave,Portland,97230,1,3,186,349900,45.53101349,988,-122.464241,7405,349900,1964,373617
1880 NE View Ct,Gresham,97030,2,4,182,396000,45.51237869,1910,-122.4136887,10454,396000,1972,422236
21934 SE Morrison Ct,Gresham,97030,2,4,183,283000,45.51645279,1488,-122.4355927,7200,283000,1966,301858
1915 NE View Ct,Gresham,97030,2,3,186,362000,45.51255798,1664,-122.4131088,8712,362000,1973,386537
2280 NE 23rd St,Gresham,97030,2,4,190,345000,45.51283264,1424,-122.4095917,8295,345000,1972,369912
1611 SE 182nd Ave,Portland,97233,2,3,188,289900,45.5112114,1901,-122.4760895,7405,289900,1958,309772
1951 NW 18th St,Gresham,97030,3,4,189,508000,45.51107025,2858,-122.4515305,6534,508000,2003,543017
2888 NE Liberty Ave,Gresham,97030,2,3,195,370000,45.5177803,1647,-122.4172058,8712,370000,1976,397419
720 NE 22nd St,Gresham,97030,2,3,197,380000,45.51166916,1480,-122.4244003,7405,380000,1970,408445
904 NE 191st Ave,Portland,97230,1,3,202,343000,45.52931213,912,-122.4665985,9147,343000,1956,369314
271 NE 192nd Ave,Portland,97230,2,3,207,330000,45.52496338,1272,-122.4656982,10018,330000,1948,355932
1408 NE 19th St,Gresham,97030,2,4,209,391000,45.51039124,1736,-122.4178238,6969,391000,1974,422018
1640 SE 176th Ave,Portland,97233,2,3,214,330000,45.51057053,1568,-122.4817505,15245,330000,1996,356302
2820 NE 22nd Ct,Gresham,97030,3,3,215,378500,45.51182556,1788,-122.4038696,14810,378500,1973,409375
17938 SE Stark St,Portland,97233,1,,218,300000,45.51888275,1224,-122.4782562,8160,300000,1956,368833
714 SE 180th Ave,Portland,97233,2,4,222,366500,45.51745224,1445,-122.4773483,9147,366500,1956,397358
35 SE 167th Ave,Portland,97233,2,3,221,335000,45.52155304,1014,-122.4909058,6969,335000,1958,378982
935 NE 194th Ave,Portland,97230,2,3,224,374900,45.52971268,1903,-122.4635544,7840,374900,1971,406747
21809 SE Ankeny St,Gresham,97030,4,3,228,540000,45.52225113,2736,-122.4378357,8276,540000,2015,586649
601 NE 25th St,Gresham,97030,3,3,228,427000,45.51455688,1835,-122.4249268,7405,427000,1992,463887
19609 NE Marine Dr SLIP A2,Portland,97230,1.5,2,230,267000,45.5583992,1200,-122.4603271,1500,267000,2007,290249
18436 SE Mill St,Portland,97233,2,4,231,386000,45.5102005,1972,-122.4728775,11325,386000,1948,419744
1782 NW Wonderview Ave,Gresham,97030,3,3,230,490000,45.51040649,2011,-122.4513626,5662,490000,2002,532667
21118 SE Taylor Ct,Gresham,97030,2,5,230,408000,45.51517487,1717,-122.4459534,7405,408000,1966,443527
894 NE 166th Ave,Portland,97230,3,4,228,470000,45.52930832,2726,-122.491333,6534,470000,2002,506830
823 NE 199th Ave,Portland,97230,3,4,231,385000,45.52907562,1948,-122.4581985,6970,385000,1980,418657
16905 NE Couch Ct,Portland,97230,1,3,231,347900,45.52336121,1410,-122.4889755,10018,347900,1958,378314
2133 NE 166th Dr,Portland,97230,3,4,232,469900,45.53873444,2326,-122.4914856,7405,469900,1988,511141
1131 NE 195th Ave,Portland,97230,2,4,238,360000,45.53141403,2143,-122.4624634,6969,360000,1973,392341
17011 NE Everett St,Portland,97230,2,4,238,349000,45.52502823,1388,-122.4874268,9147,349000,1984,380353
18649 NE Multnomah St,Portland,97230,3,3,238,397500,45.53223038,1830,-122.4708939,2613,397500,2015,433210
260 NE 197th Ave,Portland,97230,2,3,244,340000,45.52434158,981,-122.4596481,7840,340000,1966,371250
432 NW 25th St,Gresham,97030,3,3,251,399900,45.51433563,1948,-122.4357986,6969,399900,1987,437625
22035-22037 SE Ankeny St,Gresham,97030,1,2,251,190000,45.52214813,1000,-122.4348221,7840,190000,1942,324086
2260 NE Francis Ct,Gresham,97030,2.5,3,245,173000,45.51255035,2800,-122.4111404,11000,173000,1972,537166
340 NE 19th St,Gresham,97030,2,3,263,335000,45.5102272,1508,-122.4275513,8712,335000,1969,418894
190 NE 27th St,Gresham,97030,3,4,264,425000,45.51594162,2365,-122.4280319,7840,425000,1991,466994
420-440 NE 202nd Ave,Portland,97230,1,1,266,300000,45.52602386,1582,-122.454483,23600,300000,1948,329848
380 NE 19th St,Gresham,97030,1,3,264,338000,45.5102272,1371,-122.4269638,8712,338000,1969,371398
18635 SE Stephens Cir,Portland,97233,2,4,273,380000,45.50989914,1534,-122.470871,7405,380000,1980,417529
1038 SE 207th Ave,Gresham,97030,2,4,279,396000,45.51491165,2176,-122.4512329,8712,396000,1972,436034
846 NE 28th St,Gresham,97030,2,3,274,377000,45.51680374,1608,-122.4223328,7840,377000,1978,414380
2048 NE 36th Ct,Gresham,97030,2,3,279,350000,45.52239227,936,-122.4113388,9147,350000,1973,385384
1222 NE 195th Ave,Portland,97230,3,3,291,375000,45.53183746,2121,-122.4618988,7405,375000,1971,414625
18330 SE Yamhill St,Portland,97233,2,3,305,326000,45.5151825,1067,-122.4740677,13503,326000,1945,362054
946 NE 191st Ave,Portland,97230,1,3,312,339000,45.52992249,928,-122.4663925,10454,339000,1956,377299
2055 NE Hood Ave,Gresham,97030,1,3,316,325000,45.51156235,1058,-122.4271317,6969,325000,1969,362161
1014 NE 177th Ave,Portland,97230,2,3,319,345000,45.53027725,1368,-122.4806976,7405,345000,1965,385436
725 NE 191st Ave,Portland,97230,2,3,319,345000,45.5281868,1394,-122.4672928,8712,345000,1956,385330
925 SE 180th Ave,Portland,97233,1,3,326,285000,45.51584244,912,-122.4780731,9147,285000,1956,375795
1345 SE 175th Pl,Portland,97233,2,4,326,358000,45.51299286,1584,-122.4831696,8276,358000,1956,400621
17736 NE Couch St,Portland,97230,2,3,328,388900,45.52285004,1829,-122.4801636,7405,388900,1970,435439
2025 NW Birdsdale Ave,Gresham,97030,1,2,330,600000,45.51120377,828,-122.4558563,19498,600000,1954,310170
636 NE 190th Ave,Portland,97230,2,4,340,11000,45.52762604,1572,-122.4677582,10000,11000,1956,407699
22527 SE Morrison Ct,Gresham,97030,1,3,336,320000,45.51656723,1335,-122.4310379,7840,320000,1964,359083
932 NE 193rd Ave,Portland,97230,2,3,340,372700,45.52971268,1354,-122.4640121,7840,372700,1972,418680
376 NW 23rd Ct,Gresham,97030,2,3,340,332000,45.51254272,1074,-122.4348831,3485,332000,2003,372959
935 NE 22nd St,Gresham,97030,2,3,340,340000,45.51218796,1400,-122.4219437,7840,340000,1975,381946
825 SE 208th Ave,Gresham,97030,2,3,337,365000,45.51659775,1742,-122.4497833,7700,365000,1973,409692
2675 NE Cleveland Ave,Gresham,97030,3,4,335,448900,45.51649857,1934,-122.4220734,12196,448900,1997,503588
525 NE 198th Ave,Portland,97230,2,3,337,350000,45.52698135,988,-122.4590454,7405,350000,1966,392855
129 SE 220th Ave,Gresham,97030,1,3,333,355000,45.521492,1450,-122.4358063,6098,355000,1956,398029
18605 NE Everett Ct,Portland,97230,1,4,333,333768,45.52465439,1108,-122.4714966,6534,333768,1952,374224
18901 NE Everett Ct,Portland,97230,2,4,333,450000,45.5247879,2289,-122.4690781,8276,450000,1997,504544
18605 Ne Everett Ct,Gresham,97230,1,4,333,333768,45.52463913,1108,-122.4714813,6534,333768,1952,374224
1720 SE 181st Ave,Portland,97233,1,3,341,321000,45.5102272,1093,-122.476532,8276,321000,1959,360701
1110 SE 208th Ave,Gresham,97030,2,4,329,385000,45.51529312,1608,-122.4491882,7405,385000,1973,406005
1025 SE 212th Ave,Gresham,97030,1,3,328,316000,45.51514053,994,-122.4451752,6969,316000,1966,353815
18457 SE Stephens Cir,Portland,97233,2,2,341,305000,45.50989914,1412,-122.4725647,6969,305000,1982,342722
17153 NE Flanders Way,Portland,97230,2,3,343,365000,45.52550888,1585,-122.4869843,5662,365000,2001,410369
21018 SE Morrison St,Gresham,97030,1,3,343,310000,45.51673126,858,-122.447052,7405,310000,1972,348532
2115 NE 36th Ct,Gresham,97030,2,3,342,326000,45.52267838,1252,-122.4107437,10890,326000,1973,406101
17910 SE Alder St,Portland,97233,2,3,327,325000,45.51707458,1416,-122.4785614,7405,325000,1958,363792
1273 NE 186th Dr,Portland,97230,3,4,343,373000,45.53168106,1641,-122.4709854,3484,373000,2014,418985
2310 NE Francis Ct,Gresham,97030,3,3,327,515000,45.51209641,2016,-122.4092789,13503,515000,1976,576471
2049 NW Wallula Ave,Gresham,97030,2,3,327,319000,45.51125336,1803,-122.4451904,7840,319000,1963,357076
1509 SE 211th Ave,Gresham,97030,1.5,3,326,340000,45.51168442,1309,-122.4461517,7030,340000,1964,380478
17914 SE Clay St,Portland,97233,1,3,326,300000,45.5111351,864,-122.4785767,8712,300000,1962,359780
909 SE 224th Ave,Gresham,97030,2,3,326,325500,45.51595306,1276,-122.4329758,8276,325500,1962,399154
912 SE 205th Dr,Gresham,97030,2,3,326,325000,45.51587296,1184,-122.452034,7840,325000,1972,363692
416 SE 240th Ct,Gresham,97030,2,4,322,372500,45.51956177,1168,-122.4160233,9147,372500,1965,416388
2505 NE Cleveland Ave,Gresham,97030,1,3,319,325000,45.51582336,1228,-122.4214325,6969,325000,1973,363092
21814 SE Oak St,Gresham,97030,2,3,321,320000,45.51988602,1107,-122.4377899,7405,320000,1956,357604
1816 NE Elliott Pl,Gresham,97030,2,3,319,300000,45.50963974,1054,-122.4238358,8500,300000,1979,376974
2729 NE Hood Ave,Gresham,97030,3,4,322,454000,45.51624298,1958,-122.4288101,7840,454000,1990,507491
2243 NW Norman Ave,Gresham,97030,3,3,316,380000,45.51254654,1432,-122.4382095,8712,380000,1984,423450
1231 SE 175th Pl,Portland,97233,1,3,316,329000,45.51390839,1348,-122.4830475,9147,329000,1956,366619
2940 NE Beech Dr,Gresham,97030,3,5,313,502000,45.51793289,3121,-122.4268341,7405,502000,1987,558886
17706 SE Washington St,Portland,97233,2,3,319,345500,45.51779556,1220,-122.4810181,6969,345500,1963,385888
21835 NE Couch St,Gresham,97030,3.5,,319,232500,45.52320862,2468,-122.4376373,6000,232500,2013,532694
17512 NE Glisan St,Portland,97230,3,4,309,384000,45.52613449,1872,-122.4826202,10018,384000,1958,426991
312 NE 197th Ave,Portland,97230,2,3,306,225000,45.5251503,1070,-122.4596405,8140,225000,1960,249960
1345 SE 208th Ave,Gresham,97030,2,3,306,379900,45.51280594,1616,-122.4488068,7840,379900,1974,422044
1120 SE 208th Ave,Gresham,97030,2,3,307,300000,45.51486588,1564,-122.4492264,7405,300000,1973,333382
405 NE 168th Ave,Portland,97230,2,3,306,355000,45.52568436,1406,-122.4899368,7405,355000,1966,394382
17111 NE Glisan St,Portland,97230,2,3,305,263000,45.5268364,1556,-122.4868622,16988,263000,1952,292086
1780 NE Juniper Ave,Gresham,97030,1,3,301,320000,45.50942993,1122,-122.4222412,7405,320000,1969,354955
1124 SE 223rd Ave,Gresham,97030,1,3,301,320000,45.51433182,1209,-122.4333496,12196,320000,1971,354955
1631 NW 19th St,Gresham,97030,3,3,301,410000,45.51062012,1760,-122.4482193,6969,410000,1986,454786
1955 NW 17th St,Gresham,97030,2,3,301,410500,45.50967789,1690,-122.4514923,6534,410500,2003,455341
2410 NE 164th Ave,Portland,97230,2,3,299,470000,45.54049683,2124,-122.4935989,12632,470000,1986,521021
356 NE 168th Ave,Portland,97230,2,3,299,370000,45.52553558,1374,-122.4894333,6969,370000,1967,410165
833 SE 221st Ave,Gresham,97030,2,4,298,385000,45.51655197,1829,-122.4353409,8300,385000,1964,426663
307 NE 176th Ave,Portland,97230,1,3,295,350000,45.5245285,1246,-122.4822235,7840,350000,1962,387491
16801 NE Oregon St,Portland,97230,3,4,298,422000,45.52859879,1988,-122.4900513,8712,422000,1967,467667
20841 SE Burnside Ct,Gresham,97030,2,3,294,365000,45.51296997,1916,-122.4477234,8712,365000,1967,403965
20632 SE Main Dr,Gresham,97030,2,4,288,385000,45.51459122,1688,-122.4519501,,385000,1972,425263
16826 SE Pine St,Portland,97233,3,3,291,378000,45.5203743,1770,-122.4894104,5662,378000,2000,417942
2324 NW Norman Ave,Gresham,97030,2,4,288,425000,45.51315689,2100,-122.4377289,,425000,1983,469446
21637 SE Ash St,Gresham,97030,1,2,284,275000,45.52129364,684,-122.4400101,7405,275000,1950,303337
17327 NE Wasco St,Portland,97230,3,4,279,390000,45.53262711,1989,-122.4843597,7405,390000,1971,429427
17199 SE Pine St,Portland,97233,2,3,278,342000,45.52082062,1196,-122.4863739,5227,342000,1996,376442
491 NE 30th Dr,Gresham,97030,2,3,277,375000,45.51881027,1537,-122.425766,8800,375000,1985,412619
21009 SE Main Dr,Gresham,97030,2,3,271,350000,45.5140419,1392,-122.4468765,10890,350000,1968,384294
17045 NE Glisan St,Portland,97230,2,2,270,260000,45.52702713,982,-122.4870529,23086,260000,1955,387844
805 NE 195th Ave,Portland,97230,3,3,270,400000,45.52866745,1740,-122.4625244,7840,400000,1973,439038
1127 SE 226th Ave,Gresham,97030,2,3,270,330000,45.51436234,1212,-122.4308167,7405,330000,1968,362207
819 SE 179th Ave,Portland,97233,3,3,270,349900,45.51663589,2090,-122.4791412,6969,349900,1958,384049
16782 NE Schuyler Ct,Portland,97230,2,3,270,445000,45.53587341,1994,-122.490387,6969,445000,1995,488430
410 NE 176th Ave,Portland,97230,2,3,264,399000,45.5254631,2933,-122.4820633,11761,399000,1976,438561
2317 NW Aubrey Ln,Gresham,97030,2,3,263,340000,45.51290894,1100,-122.4363937,5227,340000,2003,373479
16506 NE Pacific Dr,Portland,97230,2.5,4,267,175000,45.52948761,2678,-122.4930878,5295,175000,2002,490490
16710 NE Pacific Dr,Portland,97230,4,5,266,465000,45.52949524,2138,-122.4909134,8276,465000,1969,511265
1312 SE 211th Ave,Gresham,97030,3,3,260,395777,45.51355362,2023,-122.44561,8712,395777,1975,434343
2310 NE Juniper Ave,Gresham,97030,2,3,260,349900,45.51357269,1048,-122.4227219,7405,349900,1972,383995
2205 NE Francis Ct,Gresham,97030,2,3,259,406000,45.51234436,1558,-122.4117126,10890,406000,1972,445424
1450 SE 179th Ave,Portland,97233,2,4,260,350000,45.51194,1200,-122.4786072,10454,350000,1962,384105
2 SE 205th Pl,Gresham,97030,2,3,258,304000,45.52235031,1571,-122.4519653,3920,304000,1975,339996
936 NE 192nd Ave,Portland,97230,1,3,251,320000,45.52974701,922,-122.4650726,9147,320000,1957,350188
933 NE 174th Ave,Portland,97230,2.5,5,250,240000,45.52972794,2114,-122.4842606,7004,240000,1970,262557
18594 NE Multnomah Ter,Portland,97230,3,3,249,380000,45.53087234,1629,-122.471344,2178,380000,2015,415584
2741 NE Elliott Ave,Gresham,97030,2,3,249,429500,45.51686859,1771,-122.4251938,7405,429500,1991,469720
1438 NE 19th St,Gresham,97030,2,3,249,255000,45.51039124,1184,-122.4175339,6969,255000,1973,345256
2280 NE Francis Ct,Gresham,97030,2,3,249,392000,45.51283646,1518,-122.411171,9583,392000,1973,428708
1761 NW 19th St,Gresham,97030,2,3,244,451000,45.51112366,1879,-122.4494019,7840,451000,1992,485901
17730 NE Flanders St,Portland,97230,2,3,242,359900,45.52495193,1570,-122.4804764,8276,359900,1965,392730
18152 NE Everett Ct,Portland,97230,1,2,242,281000,45.5242424,750,-122.4759369,4356,281000,1943,306632
21552 SE Ash St,Gresham,97030,1,3,239,337000,45.52074814,1295,-122.4408493,15000,337000,1962,367391
275 SE 193rd Ave,Portland,97233,2,3,242,366000,45.52028656,1301,-122.4644394,6098,366000,1994,399386
17098 E Burnside St,Portland,97233,1,3,237,267000,45.52186203,1040,-122.4870224,3484,267000,1949,219810
1249 NE 166th Ave,Portland,97230,1,,239,253800,45.53200912,1453,-122.4929123,9100,253800,1956,276688
17037 NE Glisan St,Portland,97230,1,2,236,245000,45.52695847,914,-122.4873581,20908,245000,1952,360107
114 SE 197th Ave,Portland,97233,1,,235,270000,45.52129745,960,-122.4596481,8030,270000,1966,372407
1245 NE 29th St,Gresham,97030,2,3,235,387000,45.51796341,1765,-122.4185944,8276,387000,1975,421366
2230 NE Elliott Ave,Gresham,97030,2,3,235,352000,45.5125351,1480,-122.423851,6969,352000,1970,383258
16632 SE Ankeny St,Portland,97233,2,4,235,370000,45.52113724,1222,-122.4914932,6969,370000,1958,402856
1036 SE 225th Ave,Gresham,97030,2,3,232,360000,45.51495743,1240,-122.4312057,7405,360000,1968,391596
21403 SE Alder St,Gresham,97030,2,3,231,370000,45.51780319,1570,-122.4428864,7840,370000,1968,402473
16924 NE Davis St,Portland,97230,3,4,231,435000,45.52373886,2286,-122.4887314,8712,435000,1976,473028
16551 NE Pacific Dr,Portland,97230,3,4,228,422000,45.5298996,2206,-122.4927063,5227,422000,2002,458456
17840 SE Mill Ct,Portland,97233,2,5,228,390000,45.50971222,1920,-122.4791718,7405,390000,1959,423691
16411 NE Oregon St,Portland,97230,4,8,228,525000,45.52845001,3028,-122.4938583,8712,525000,1974,570354
18811 NE Holladay St,Portland,97230,1,3,225,329000,45.52985764,1227,-122.4696579,9300,329000,1957,357071
1140 SE 224th Ave,Gresham,97030,1,3,223,335000,45.51413345,960,-122.4322205,6969,335000,1965,363332
103 SE 198th Ave,Portland,97233,2,3,214,385000,45.52140808,1420,-122.4592133,8276,385000,1968,416262
3520 NE View Ave,Gresham,97030,1,3,214,327000,45.52241516,920,-122.4122925,6969,327000,1973,353552
960 SE 218th Ave,Gresham,97030,1,3,211,318000,45.51541519,1118,-122.4377594,8276,318000,1966,343464
27 NE 219th Ln,Gresham,97030,3,5,211,415000,45.52252579,2470,-122.4373398,4791,415000,2008,448232
19108 NE Hassalo St,Portland,97230,2,4,214,395000,45.53015137,2008,-122.4665527,7405,395000,1963,426040
16636 NE San Rafael Dr,Portland,97230,3,3,209,498000,45.53735733,2165,-122.4911423,9147,498000,1989,537506
16245 NE Tillamook Ct,Portland,97230,3,4,209,490000,45.53807831,2330,-122.4947357,10454,490000,1981,528872
16649 SE Ankeny St,Portland,97233,2,3,208,360000,45.52155685,1222,-122.4911804,6969,360000,1958,388424
739 SE 207th Ave,Gresham,97030,2,4,208,450000,45.51692963,2196,-122.4508209,7405,450000,1971,485530
1129 SE 179th Ave,Portland,97233,1,4,208,40000,45.51463699,1300,-122.4792862,10454,40000,1958,387026
19101 NE Wasco Ct,Portland,97230,1,3,207,175000,45.53193283,1560,-122.4666061,9500,175000,1963,387653
1431 NE 176th Ave,Portland,97230,3,4,207,474000,45.5334816,1852,-122.4822769,4791,474000,2007,511248
875 NE 22nd Ct,Gresham,97030,2,3,207,375000,45.51290894,1440,-122.4227295,7405,375000,1975,404469
17004 NE Davis St,Portland,97230,2,3,207,375000,45.52352524,1560,-122.4876862,7840,375000,1976,404469
2365 NE Hood Ave,Gresham,97030,2,3,207,289000,45.51322556,1304,-122.4273224,10454,289000,1967,406200
1116 NE 196th Ave,Portland,97230,3,4,204,431000,45.53114319,2025,-122.460762,8712,431000,1981,464387
183 NE 184th Pl,Portland,97230,1,3,204,345000,45.52370071,1534,-122.472908,7405,345000,1971,371725
1244 NE 29th St,Gresham,97030,2,3,203,409000,45.5175705,1906,-122.4186783,7405,409000,1975,440530
1819 NW Wonderview Ave,Gresham,97030,3,4,202,470000,45.51099396,2339,-122.4520798,6098,470000,2003,506058
165 SE 191st Pl,Portland,97233,3,4,202,377500,45.5213356,1713,-122.4666901,3049,377500,2007,406461
