abbreviatedAddress,address/city,address/zipcode,bathrooms,bedrooms,daysOnZillow,lastSoldPrice,latitude,livingArea (sqft),longitude,lotSize,price,yearBuilt,zestimate
6934 NE Sumner St,Portland,97218,1,,35,550000,45.55979538,1336,-122.5914688,7176,550000,1961,557700
2114 NE 60th Ave,Portland,97213,1,2,195,500000,45.53792191,2136,-122.6012421,4791,500000,1939,543900
3405 NE 73rd Ave,Portland,97213,2,2,196,485000,45.54737473,1875,-122.5882111,4791,485000,1910,527800
3326 NE 66th Ave,Portland,97213,3,4,203,649000,45.54729462,2832,-122.5950089,4791,649000,1925,708200
5903 NE Flanders St,Portland,97213,2,2,203,527475,45.52592087,2339,-122.6030731,6098,527475,1911,575600
2734 NE 65th Ave,Portland,97213,2,2,209,591000,45.54282761,2067,-122.5960617,4791,591000,1923,646300
2837 NE 66th Ave,Portland,97213,1,4,209,635000,45.54339218,3236,-122.5956268,7405,635000,1912,694400
407 NE 79th Ave,Portland,97213,2,3,209,501500,45.52563477,2352,-122.5827179,3920,501500,1907,548400
730 NE 63rd Ave,Portland,97213,2,3,214,503000,45.52814102,1896,-122.5983429,4791,503000,1927,551100
6103 NE Davis St,Portland,97213,2,3,217,620222,45.52441025,2595,-122.6006546,4791,620222,1926,680000
7229 SE Yamhill St,Portland,97215,2,3,217,625000,45.51655197,2319,-122.588089,4791,625000,1929,685300
6120 SE Ankeny St,Portland,97215,2,3,220,490000,45.5217514,1134,-122.6004333,6534,490000,1975,537800
3232 NE 69th Ave,Portland,97213,1,3,220,485000,45.54656601,3120,-122.5918121,6098,485000,1934,597900
2734 NE 64th Ave,Portland,97213,2,4,223,632500,45.54283142,2754,-122.5970764,4791,632500,1911,694900
315 NE 84th Ave,Portland,97220,2,4,223,525000,45.52541351,2284,-122.5773239,5000,525000,1911,576800
118 SE 70th Ave,Portland,97215,3,5,227,549000,45.52213287,2360,-122.5905762,5227,549000,1930,603900
2506 NE 60th Ave,Portland,97213,2,5,227,630000,45.54112244,2248,-122.6011887,4791,630000,1924,693100
11644 NE Sacramento St,Portland,97220,3,4,228,590000,45.53928757,3646,-122.5429306,11325,590000,1938,649300
1406 NE 76th Ave,Portland,97213,1,3,231,496100,45.53295898,2066,-122.5845413,4791,496100,1913,546500
3255 NE 80th Ave,Portland,97213,2,3,234,519500,45.54620361,2044,-122.5811234,4791,519500,1911,572800
405 NE 84th Ave,Portland,97220,1,3,234,493500,45.5258255,2472,-122.5773163,4791,493500,1924,544200
3015 NE 61st Ave,Portland,97213,3,3,235,650000,45.54479599,2967,-122.600769,4791,650000,1917,717000
6023 NE Hoyt St,Portland,97213,2,3,237,525000,45.52735519,2094,-122.6017456,2613,525000,1911,579500
