zpid,bathrooms,bedrooms,daysOnZillow,lastSoldPrice,livingArea (sqft),lotSize,priceHistory/0/price,priceHistory/2/price,yearBuilt,zestimate
53979392,2,3,271,490000,1732,3920,490000,450000,1961,546500
176556947,3,3,215,519900,1836,1306,519900,519900,2014,569600
53935760,2,4,284,480000,1970,4791,480000,435000,1945,537400
53915961,2,4,216,625000,1416,3484,625000,550000,1888,685000
53876884,1,2,286,510000,2316,5000,510000,449000,1911,571300
53844737,3,4,201,617000,2709,4791,617000,575000,1903,672700
53937687,2,3,277,480000,1440,4791,480000,425000,1944,536300
67568776,3,3,286,481000,1485,2613,2290,481000,2006,538800
53824249,2,3,168,586000,1612,4791,586000,569000,1951,630700
53911148,2,3,220,520000,2423,5227,520000,509000,1952,570700
53905828,2,3,202,605000,2584,6969,605000,499900,1953,659900
53815763,2,3,290,525000,1854,3920,525000,499900,1925,588800
53889636,1,3,278,510000,2616,4791,510000,499900,1942,570000
53882189,2,3,209,575000,2318,4791,575000,575000,1927,628800
53963812,1,2,220,515000,1659,3484,515000,499000,1896,565200
53853375,2,3,290,580000,2280,4791,580000,550000,1907,650400
53884775,2,3,210,495000,1636,3920,495000,489000,1911,541500
53868349,2,4,171,590000,2460,4791,590000,608000,1926,635900
53948926,1.5,4,222,570000,2000,4791,4425,4450,1918,756400
53872852,3,3,290,549900,1914,5227,549900,549900,1973,616700
53873378,2,3,210,625000,2580,3049,625000,550000,1913,683700
53941342,3,3,279,502000,1646,,502000,499900,2020,561200
53849623,2,3,178,499900,1475,7840,499900,499900,1977,540400
53980641,2,3,222,570375,2862,4791,570375,599000,1942,626400
53851548,1,2,215,570000,1976,4791,570000,570000,1947,624500
53980112,2,3,290,537500,2231,4791,537500,529900,1920,602800
53991658,2,2,178,519500,1300,4792,519500,2100,1901,561500
53867790,1,3,279,521000,1876,4791,521000,449900,1944,583000
53980102,2,3,291,600000,1668,3920,600000,529000,1928,673100
53895560,1,2,178,500000,1382,4791,500000,415000,1927,540900
53886335,2,4,224,650000,2166,5000,650000,,1923,714300
53903212,1,2,216,486000,1602,4791,486000,449900,1910,532700
55319448,3,4,283,490000,2173,5662,490000,489900,2002,548600
53991501,2,4,179,635000,2374,4791,635000,625000,1940,686700
72258055,3,4,217,581000,1996,3049,581000,574999,2007,637000
53963644,1,2,227,536000,1168,1742,536000,485000,1911,589600
53984282,1,3,180,530000,2048,4791,530000,540000,1925,573300
58474415,2,3,217,515000,1324,6969,515000,464000,1950,564700
53826739,1.5,4,283,650000,1603,6088,650000,,1917,620300
53826199,2,3,227,555000,2375,4791,555000,539900,1925,765600
53896756,1,3,292,640000,1872,3484,640000,649900,1928,718100
53843907,1,3,180,495000,1956,7405,495000,519900,1916,535500
53870345,2,3,229,550000,2207,1742,550000,550000,1908,605500
92378301,3,3,284,524950,2175,,524950,524950,2014,587700
2089123544,2,3,220,633000,2588,4791,633000,648300,1910,694700
53891742,2,3,181,605000,1560,4791,605000,595000,1926,654700
53853468,2,4,230,641000,3195,4356,641000,660000,1904,705900
53941519,2,4,293,563000,2074,3920,563000,550000,1914,631900
53986873,2,4,221,510000,1712,4791,510000,475000,1949,559900
53847823,2,4,181,649950,2438,4791,649950,649950,1915,703400
53860784,2,3,285,516800,1600,12632,516800,485000,1966,578700
53997537,3,3,293,650000,2748,3484,650000,175000,1912,729600
53881425,3,3,234,625000,3030,3049,625000,649900,1909,689200
53887738,1,2,221,575000,1884,4791,575000,499000,1926,631300
53952541,1,3,187,505000,2224,4791,505000,425000,1900,547700
53947271,2,3,234,506000,1783,4791,506000,515000,1923,557900
53968221,1,3,297,540000,1842,4791,540000,525000,1912,606800
53894790,1,2,221,477000,1150,4791,477000,415000,1929,523700
53900691,2,3,294,520000,2298,3920,520000,323750,1904,583800
53861047,2,4,234,575000,2854,4791,575000,575000,1923,634000
53851436,2,4,222,572000,2796,5227,572000,579000,1923,628200
53844029,2,3,192,605000,2021,10454,605000,565000,1955,657400
53907122,1,3,298,575000,2240,3920,575000,575000,1914,646500
53841951,2,3,222,550000,1663,4791,550000,509000,1950,604000
53953557,2,3,193,540000,1680,4791,540000,549900,1907,587000
53821756,1,3,235,635000,2542,4791,635000,620000,1928,700400
53936267,1,2,298,485000,1863,2178,485000,450000,1910,545100
53986773,2,3,223,614000,2304,5662,614000,550000,1919,674600
53953137,2,2,194,591000,1972,5227,591000,574000,1908,642700
53875565,4,4,237,635000,2922,4356,635000,639900,1947,700900
53954288,2,4,299,640000,2313,3484,640000,625000,1911,719600
53879293,1,3,223,570000,1992,4791,570000,515000,1925,626200
121950597,3,4,297,590000,2050,3920,590000,575000,2015,663000
53963947,2,3,238,530000,1918,3484,530000,539000,1897,585200
176565575,4,9,299,560000,5021,5662,560000,624900,1952,629600
53999989,2,2,196,490000,1513,15681,490000,499000,1926,533300
53887744,2,3,223,577000,1612,4791,577000,525000,1947,633900
53812896,2,4,243,560000,1579,3920,560000,559900,1890,639200
53941344,3,3,298,509900,1646,,509900,509900,2020,573100
53979957,1,4,300,552000,1940,4791,552000,499000,1945,620800
53986717,2,3,224,550000,1400,7405,550000,580000,1913,658300
53881777,1.5,3,243,600000,1539,5000,600000,,1926,732300
68351465,2,3,199,515000,2696,3484,515000,515000,1924,561100
53903477,2,3,300,585000,1948,4356,585000,559000,1919,657900
53913854,2,3,298,519000,1344,4791,519000,485000,1989,583400
53855158,2,2,243,527500,1728,4356,527500,527500,1894,582400
